,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
290,291,Higor Soares Ramos,,18.50,78.25,$60,3,2,66.67%
291,292,Eduardo Matos,,18,86.00,"$1,276",3,1,33.33%
292,292,Grady Young,,18,83.50,$580,4,1,25%
293,292,Lonnie Phillips,,18,82.00,$213,4,1,25%
294,292,Alison Henrique de Lima,,18,80.50,$958,4,1,25%
295,292,Walison Neves,,18,82.00,"$1,235",2,1,50%
296,292,Adam Mast,,18,81.50,"$1,184",2,1,50%
297,298,Beau Willis,,17.50,83.50,"$1,027",16,1,6.25%
298,298,Teigan Gray,,17.50,81.50,$421,4,1,25%
299,300,Kaue Flora,,17,84.50,$671,17,1,5.88%
300,300,Jheymes da Silva,,17,81.75,$447,6,2,33.33%
301,300,Wingson Henrique da Silva,,17,83.00,$685,2,1,50%
302,303,Lucas Moraes,,16.50,82.25,$232,3,2,66.67%
303,303,Cort McFadden,,16.50,85.25,"$1,025",2,1,50%
304,305,Rafael de Lima,,16,84.50,$85,4,1,25%
305,306,Dakota Warnken,,15,52.00,"$2,230",4,1,25%
306,306,Tyler Manor,,15,83.00,$472,5,1,20%
307,306,Marcos Santos de Miranda,,15,80.50,$610,2,1,50%
308,306,Marcos Rosa da Silva,,15,84.00,$398,18,1,5.56%
309,306,Ashton Sweeney,,15,82.50,$535,7,1,14.29%
310,306,Garrett Wall,,15,80.50,$585,2,1,50%
311,312,Luiz Americo P. Silva,,14.50,76.50,$304,4,2,50%
312,313,Dawson Shannon,,14,85.00,"$1,001",25,1,4%
313,314,Anderson de Oliveira,,13.50,85.00,$400,5,1,20%
314,314,Keyshawn Whitehorse,,13.50,82.50,$0,3,1,33.33%
315,314,Ayden Dale,,13.50,85.50,$423,3,1,33.33%
316,314,Iago Silva,,13.50,76.17,$75,4,3,75%
317,314,Marco Antonio Gloria,,13.50,74.00,$207,4,2,50%
318,319,Jhonny Klesse,,13,82.00,$130,3,1,33.33%
319,319,Clayton da Costa,,13,80.00,$100,5,2,40%
320,319,Luiz Miguel de Souza,,13,82.50,$69,6,2,33.33%
321,319,Natercio de Souza,,13,83.25,$104,4,2,50%
322,319,Jonathan Nascimento Dias,,13,81.50,$268,7,1,14.29%
323,319,Marcelo De Souza Dias Junior,,13,79.00,$0,2,1,50%
324,319,Lane Hanush Bowen,,13,81.00,$446,6,1,16.67%
325,319,Kaden Piper,,13,80.00,$366,7,1,14.29%
326,319,Ricardo Aguilar,,13,80.00,$407,2,1,50%
327,328,Josh Grant,,12.83,83.00,$849,7,1,14.29%
328,329,Guilherme Henrique da Costa,,12.50,80.00,$50,5,3,60%
329,330,Matheus Veloso,,12,79.83,$0,4,3,75%
330,330,Vitor Rafael Ortolan,,12,81.38,$185,4,2,50%
331,330,Roberto Ribeiro,,12,86.00,$150,5,1,20%
332,330,Brenno Gonçalves,,12,83.50,$0,3,1,33.33%
333,330,Andre Silva Souza,,12,87.00,$100,3,1,33.33%
334,330,Joao Carlos Júnior,,12,87.00,$169,4,1,25%
335,336,Leonardo Infante Junior,,11.50,86.25,$88,3,1,33.33%
336,336,Gabriel Henrique dos Santos,,11.50,86.25,$100,2,1,50%
337,338,Lucas Eduardo Silva,,11,86.00,$0,2,1,50%
338,338,Henrique Silva,,11,86.50,$104,3,1,33.33%
339,340,Saislan de Souza,,10.50,86.50,$0,2,1,50%
340,340,Leonardo Santos,,10.50,84.00,$72,3,1,33.33%
341,342,Edmar Aparecido dos Santos,,10,67.00,"$1,029",8,1,12.50%
342,342,Willian Bueno de Oliveira,,10,77.50,$0,5,2,40%
343,342,Guilherme Dias Prado,,10,78.50,$38,4,2,50%
344,342,Bruno de Oliveira,,10,83.50,$0,2,1,50%
345,346,Chase Wimer,,9.33,85.00,$0,8,1,12.50%
346,347,Iago Aleixo Alves,,9,85.25,$0,2,1,50%
347,347,Jason Landing,,9,76.50,$0,7,1,14.29%
348,347,Lauchlan Waters,,9,79.00,$167,16,1,6.25%
349,347,Jhonatan Rodrigues,,9,85.25,$0,3,1,33.33%
350,347,João Pereira de Souza,,9,84.00,$0,2,1,50%
351,347,Wenderson do Carmo,,9,83.00,$0,2,1,50%
352,353,Hudson Rongelli,,8,81.00,$0,2,1,50%
353,353,Dakota Johnson,,8,82.00,$0,7,1,14.29%
354,353,Leonardo Ribeiro,,8,83.00,$0,2,1,50%
355,353,Fabio Junior Borges,,8,79.00,"$1,286",2,1,50%
356,357,Adilson Junior,,5,75.00,$0,2,1,50%
357,358,Marcos Vinicius Vieira,,4,74.83,$0,5,3,60%
358,358,JC Merriott,,4,53.00,$751,8,2,25%
359,358,Wade Feaser,,4,75.50,$292,6,1,16.67%
360,361,Waylon Buquoi,,2.50,74.00,$97,3,1,33.33%
361,362,Heitor Araujo,,2,76.00,$0,5,2,40%
362,362,Décio Miranda,,2,78.00,$0,3,1,33.33%
363,362,Alexandre da Costa,,2,78.00,$0,2,1,50%
364,365,Anderson de Almeida,,1.50,81.00,$41,3,1,33.33%
365,366,Marcos Gomes,,1,82.50,$0,3,1,33.33%
366,366,Marcio Souza,,1,80.00,$0,3,1,33.33%
367,366,João Pedro de Oliveira,,1,76.00,$0,5,1,20%
368,366,Douglas Diogo,,1,75.00,$0,2,1,50%
369,366,Lucas Pereira,,1,73.00,$0,2,1,50%
370,366,Luiz Gabriel Rosa,,1,62.50,$0,3,1,33.33%
371,366,Gustavo Henrique Bezerra,,1,68.00,$0,3,1,33.33%
372,366,João Cesar Ferreira Fernandes,,1,79.75,$0,3,1,33.33%
373,366,Rafael de Oliveira,,1,80.00,$0,3,1,33.33%
374,366,Gabriel de Oliveira,,1,71.50,$0,2,1,50%
375,366,Phelipe Silveira,,1,71.50,$0,2,1,50%
376,366,Abraão Santos de Araujo,,1,63.00,$0,2,1,50%
377,378,Nick Tetz,,0,0.00,$0,1,0,0%
378,378,Dustin Martinez,,0,0.00,$500,4,0,0%
379,378,Claudio Montanha Jr.,,0,83.00,"$1,400",7,1,14.29%
380,378,Brandon Chambers,,0,0.00,$0,8,0,0%
381,378,Eric Henrique Domingos,,0,0.00,$0,1,0,0%
382,378,Elijah Monnett,,0,0.00,$0,2,0,0%
383,378,Braydon Wellby,,0,0.00,$0,3,0,0%
384,378,Luciano De Castro,,0,0.00,$400,5,0,0%
385,378,José de Castro,,0,0.00,$0,2,0,0%
386,378,Maikon Calixton Rocha,,0,0.00,$0,2,0,0%
387,378,Robson Guedes,,0,0.00,$0,2,0,0%
388,378,Yan Victor Cunha,,0,0.00,$0,2,0,0%
389,378,Bruno Carvalho,,0,0.00,$400,11,0,0%
390,378,Kaiden Loud,,0,0.00,$250,2,0,0%
391,378,John Crimber,,0,0.00,$400,2,0,0%
392,378,Cody Fraser,,0,0.00,$0,2,0,0%
393,378,Dixon Tattrie,,0,0.00,$0,1,0,0%
394,378,Dalton Krantz,,0,0.00,$0,2,0,0%
395,378,Stefan Tonita,,0,0.00,$0,2,0,0%
396,378,Briggs Madsen,,0,0.00,$250,3,0,0%
397,378,Jesse Petri,,0,0.00,$0,1,0,0%
398,378,Caleb O'Shea,,0,0.00,$0,3,0,0%
399,378,Ky Borghero,,0,0.00,$0,10,0,0%
400,378,Mason Ward,,0,0.00,$0,9,0,0%
401,378,Cole Trivette,,0,0.00,$0,8,0,0%
402,378,Klay Ward,,0,0.00,$0,8,0,0%
403,378,Julio Cesar Ribeiro,,0,0.00,$0,1,0,0%
404,378,Flavio Zivieri,,0,0.00,$0,2,0,0%
405,378,Maciel Santana,,0,0.00,$0,2,0,0%
406,378,William Barrows,,0,0.00,$0,5,0,0%
